"","GSM131331.DT","GSM131332.DT","GSM131335.DT","GSM131336.DT","GSM131339.DT","GSM131340.DT","GSM131343.DT","GSM131344.DT","GSM131347.DT","GSM131348.DT","GSM131351.DT","GSM131352.DT","GSM131355.DT","GSM131356.DT","GSM131259.CT","GSM131260.CT","GSM131263.CT","GSM131264.CT","GSM131267.CT","GSM131268.CT","GSM131271.CT","GSM131272.CT","GSM131275.CT","GSM131276.CT","GSM131279.CT","GSM131280.CT","GSM131455.HT","GSM131456.HT","GSM131459.HT","GSM131460.HT","GSM131463.HT","GSM131464.HT","GSM131467.HT","GSM131468.HT","GSM131307.ST","GSM131308.ST","GSM131311.ST","GSM131312.ST","GSM131315.ST","GSM131316.ST","GSM131319.ST","GSM131320.ST","GSM131323.ST","GSM131324.ST","GSM131327.ST","GSM131328.ST","GSM131223.WT","GSM131224.WT","GSM131227.WT","GSM131228.WT","GSM131231.WT","GSM131232.WT","GSM131235.WT","GSM131236.WT","GSM131239.WT","GSM131240.WT","GSM131243.WT","GSM131244.WT","GSM131247.WT","GSM131248.WT","GSM131251.WT","GSM131252.WT","GSM131255.WT","GSM131256.WT"
"249710_at","13.79795938","13.81362684","13.74774605","13.81069649","13.84300462","13.7893223","13.71697954","13.74809878","13.71630528","13.69958953","13.94559383","13.94713167","13.65809118","13.76503938","13.72060455","13.80772848","13.8225592","13.7598284","13.71159537","13.85765746","13.75012399","13.74619185","13.65090146","13.63983842","13.53695528","13.56130001","13.72331608","13.61740765","13.58506796","13.58640034","13.94161403","13.94856592","13.81069649","13.83493206","13.77395054","13.79127875","13.70583803","13.76559034","13.71029782","13.70140028","13.58464238","13.64264369","13.82727376","13.93609509","13.66058795","13.67905857","13.81942624","13.85196798","13.50546165","13.72647155","13.8084363","13.76755961","13.74377171","13.83130386","13.73801573","13.74554516","13.72364217","13.0425602","13.70435146","13.70022274","13.94814149","13.98730296","13.85503049","13.85926657"
"249828_at","9.574282261","9.448632901","9.396405483","9.429215104","9.477916357","9.43634032","9.230028407","9.151289924","9.17593835","9.179730961","9.443827258","9.421840452","9.362591861","9.007121811","9.213908858","9.121894381","9.637593646","9.378717368","9.230903231","9.373358757","9.16680341","9.642656031","9.479917942","9.501793923","9.800900939","10.02754229","9.786019657","9.757771736","9.907927728","10.02104982","9.466142715","9.396565433","9.232734756","9.400107592","9.243973413","9.205554097","9.147671364","9.379032487","8.608622953","8.588160459","8.772129415","8.902115687","9.042213084","9.189438431","9.100860437","8.825683339","9.497185335","9.316726007","9.150097711","9.185473175","9.07705836","9.29296987","9.405720134","9.602390626","9.212280495","9.241665041","9.131053647","9.243354125","9.361286335","9.401496201","9.326625133","9.370907824","9.461971206","9.488942858"
"249830_at","9.090269236","8.915139316","8.669460858","8.536981072","8.538345848","8.537120491","8.490004703","8.377681228","8.215978564","8.333252199","8.367791633","8.440311671","8.739241695","8.576895325","8.892814506","8.749690351","8.854558956","8.673758144","8.716827107","8.778108898","8.434513484","8.675922077","8.573342285","8.554843862","9.082789818","9.281431082","9.791093767","9.903607547","9.302127277","9.258613487","8.527427353","8.722630907","8.766041025","9.004187843","8.536426056","8.574450183","8.547518118","8.5030186","7.924552438","8.208878311","8.16842042","8.353537685","8.699177622","8.205587248","8.356991318","8.409165469","8.958951098","8.672236012","8.407553734","8.339858931","8.656229142","8.507202701","8.578820259","8.85288833","8.48701272","8.560248503","8.623493576","8.572454441","8.780944539","8.663591473","8.440114206","8.502448328","8.842307727","8.748782302"
"249876_at","13.11092184","13.12643153","13.23849251","12.93495563","12.958265","13.31742817","12.83528401","12.63182861","12.64337261","12.51325028","12.96835067","13.06020378","13.43601391","13.39588288","13.34519092","13.47068521","13.56996427","13.44793189","13.4241161","13.41950139","13.18880967","13.12138411","12.91759151","12.91597289","12.07319919","12.24687979","12.82158166","12.85530726","12.38771826","12.3065405","13.07318419","13.29691626","13.70435737","13.65325166","13.11098209","13.21812862","13.03928174","13.40157977","12.65035086","13.03550802","12.51220739","12.43787725","12.54064827","12.81464336","12.96083625","12.81986584","13.27687204","13.22727114","13.2431019","13.4046454","13.28912549","13.5139615","13.29938037","13.37511538","13.07527262","12.97472965","12.97383569","12.49364473","12.71475615","12.53853051","13.15798039","13.12211711","13.1245032","13.40029346"
"249959_at","9.750505314","9.796404811","9.543395575","9.721765472","9.697314655","9.449676204","9.710154636","9.712163655","10.01747076","10.10891196","9.947901631","9.997339017","9.588195721","9.54090809","9.909941077","9.86687877","9.693672793","9.847283226","9.516121446","9.716313488","9.538584803","9.488196439","9.544265607","9.576131268","9.670229717","9.632247635","9.996098361","10.10375116","9.650446469","9.669229516","9.812356785","10.02269804","9.894468347","9.79128025","9.722648335","9.755681979","9.745455813","9.634495209","9.953990459","9.941524337","10.08859645","9.965594474","10.24931589","9.938868115","9.90967249","9.974841271","9.833040062","9.841913195","9.576707232","9.741582336","9.735593529","9.750840678","9.78191706","9.852405761","10.07700274","9.934125787","9.686339243","9.704820926","9.969404682","9.904989059","9.94616342","9.831604728","9.921767962","9.692819446"
"249984_at","8.972630088","8.996485633","9.401167645","10.33705122","9.940941518","9.396301622","8.67263768","8.599778902","8.666589854","8.944306426","9.117407015","9.092335956","8.657795125","8.441406388","8.746159914","8.784906686","9.006554455","8.900815254","9.246421636","9.449593201","9.570240016","9.72502175","10.64034004","10.52772332","10.9893309","11.1793012","9.681215634","9.38080013","9.167908744","9.306034361","8.855791221","8.832830121","8.672187022","8.759353496","9.303262538","9.353094143","8.727653457","8.717858495","8.349094718","8.42162205","8.87607942","8.781190662","9.220927252","8.758255074","9.21085948","9.267263577","9.445670913","8.928612239","9.088041489","9.242219564","9.440767653","9.143948905","9.389784919","9.093875678","8.686126201","8.995348381","9.3283585","9.086151379","8.736672102","8.908282233","9.010356714","8.885740476","8.835885916","8.831152223"
"250032_at","8.944872431","9.548933261","8.987333644","9.04820023","8.935789994","9.146862368","9.434903189","9.890475728","9.820806718","10.10772839","9.137581318","9.183838957","9.911905898","9.648996765","8.938133829","8.848922257","9.469337699","9.307440902","9.057370441","9.441046165","9.127100393","9.077067955","8.771392315","9.003742278","8.61608813","8.716590173","8.578161292","8.191655509","9.130892312","9.055146288","8.300689398","8.554215426","8.868998868","8.768063811","10.05230097","10.24312621","9.967338663","9.50537673","9.058097352","9.339719975","9.088789118","8.898474889","8.787017687","8.656995973","8.350778381","8.029800871","9.670663908","9.072523565","9.928873982","10.35572368","9.980769437","9.732365356","9.049225907","9.525415271","9.900604126","10.27979483","9.891255664","9.252296212","9.69934901","9.48158361","8.684231897","8.813582761","8.94038747","8.811940488"
"250055_at","11.59312161","11.66666037","11.53498683","11.5854963","11.68248272","11.40051919","11.54648011","11.32375999","11.3861111","11.45479632","11.61676423","11.63195494","11.56587206","11.35704001","11.75297102","11.73642889","11.79712896","11.54684539","11.405644","11.43043468","11.23025519","11.40785595","11.21657654","11.2148757","11.35939107","11.45992596","11.66073367","11.53661555","11.42500518","11.5220311","11.49205046","11.76438016","11.73578415","11.74846613","11.27755795","11.43393625","11.73553377","11.65079409","11.33346595","11.31637768","11.44093899","11.47403513","11.77615503","11.44051382","11.37067226","11.38255012","11.64629517","11.54595431","11.37348663","11.44174376","11.47924639","11.45506867","11.70130481","11.75409124","11.55265726","11.56354451","11.52344833","11.28727905","11.43506826","11.56608005","11.70377287","11.64882115","11.45849414","11.53747422"
"250146_at","10.13469908","10.08424021","10.37575229","10.19852493","10.41169369","10.19941292","10.00057582","9.884313096","9.66705415","9.836670514","10.19566255","10.11302347","10.05007511","9.979895424","10.61677563","10.74077463","9.946508267","10.16343232","10.18490791","10.36645804","10.27393326","10.31171186","10.11850265","10.32423294","9.98237137","10.05160939","9.661134473","9.98647502","9.961571027","10.10576068","10.68741085","10.89302134","10.92600146","10.57133137","9.997081787","10.29885136","9.958779747","10.28755307","9.863769572","9.899077951","9.133143529","9.291573134","9.262035167","9.769935525","9.643216003","9.366508108","9.991410356","10.30352317","9.930212493","10.08958143","10.21258143","10.30902058","10.17825339","10.29794852","10.13851769","9.824669919","9.978605993","9.845842774","10.07492511","10.08635088","10.28815532","10.27048119","10.55007908","10.54519771"
"250168_at","9.328031693","9.388976479","9.118215761","9.345963109","9.120357234","9.083321985","9.089279437","8.903537011","9.049000784","9.174211299","9.449859608","9.233991973","9.255928835","9.103639407","9.468194101","9.794123239","7.961036918","9.452801025","9.312320113","9.481415313","9.436726966","9.153775028","9.492872343","9.437387884","9.416078546","9.44036731","9.378388631","9.55501857","9.416807936","9.386269977","9.511390357","9.670065777","9.561630308","9.642520062","9.088586506","9.071082286","8.973979852","8.956357539","9.218743759","9.204458617","8.719935557","9.101044007","9.320572521","9.213296431","9.247156785","8.980848435","9.555946547","9.473522448","9.139675007","9.143717122","9.333494419","9.49857861","9.641516471","9.449249134","9.355215693","9.23667121","9.361522021","9.085038302","9.652935564","9.490955846","9.44772525","9.365368595","9.595848486","9.535221453"
